title,score,people_num,quote,description,url,pic
三块广告牌,8.7,839080,怼天怼地，你走后，她与世界为敌。,,https://movie.douban.com/subject/26611804/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2502943384.jpg
达拉斯买家俱乐部,8.8,462281,Jared Leto的腿比女人还美！,,https://movie.douban.com/subject/1793929/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg
心迷宫,8.7,538257,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,,https://movie.douban.com/subject/25917973/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg
疯狂原始人,8.7,855012,老少皆宜，这就是好莱坞动画的魅力。,,https://movie.douban.com/subject/1907966/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg
谍影重重3,8.8,427996,像吃了苏打饼一样干脆的电影。,,https://movie.douban.com/subject/1578507/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg
英雄本色,8.6,553782,英雄泪短，兄弟情长。 ,,https://movie.douban.com/subject/1297574/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg
上帝之城,9.0,306664,被上帝抛弃了的上帝之城。,,https://movie.douban.com/subject/1292208/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg
风之谷,8.9,361180,动画片的圣经。,,https://movie.douban.com/subject/1291585/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg
纵横四海,8.8,435637,香港浪漫主义警匪动作片的巅峰之作。,,https://movie.douban.com/subject/1295409/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg
爱在午夜降临前,8.9,415186,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,,https://movie.douban.com/subject/10808442/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg
海街日记,8.8,460276,是枝裕和的家庭习作。,,https://movie.douban.com/subject/25895901/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg
绿里奇迹,8.9,341436,天使暂时离开。,,https://movie.douban.com/subject/1300374/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg
卢旺达饭店,8.9,337202,当这个世界闭上双眼，他却敞开了怀抱。,,https://movie.douban.com/subject/1291822/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg
小丑,8.7,1029660,,,https://movie.douban.com/subject/27119724/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg
记忆碎片,8.7,616787,一个针管引发的血案。,,https://movie.douban.com/subject/1304447/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg
背靠背，脸对脸,9.5,141235,,,https://movie.douban.com/subject/1307856/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg
疯狂的石头,8.6,841892,中国版《两杆大烟枪》。,,https://movie.douban.com/subject/1862151/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg
心灵奇旅,8.7,1011290,,,https://movie.douban.com/subject/24733428/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2595591069.jpg
雨中曲,9.1,233199,骨灰级歌舞片。,,https://movie.douban.com/subject/1293460/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg
2001太空漫游,8.9,341496,现代科幻电影的开山之作，最伟大导演的最伟大影片。,,https://movie.douban.com/subject/1292226/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg
岁月神偷,8.7,581875,岁月流逝，来日可追。,,https://movie.douban.com/subject/3792799/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg
无间道2,8.7,493493,,,https://movie.douban.com/subject/1307106/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg
